Date,AQI Category,PM2.5
11/18/17,Moderate,7.5
11/19/17,Good,3
11/20/17,Good,4.7
11/21/17,Moderate,7.7
11/22/17,Moderate,7.3
11/23/17,Good,5.1
11/24/17,Moderate,11.3
11/25/17,Moderate,11.8
11/26/17,Good,3.2
11/27/17,Good,5.4
11/28/17,Moderate,6.5
11/29/17,Good,7.4
11/30/17,Moderate,6.7
12/1/17,Good,7.6
12/2/17,Moderate,10.2
12/3/17,Moderate,18.5
12/4/17,Unhealthy for Sensitive Groups,21.8
12/5/17,Good,7.6
12/6/17,Moderate,4.6
12/7/17,Moderate,7.3
12/8/17,Good,8.6
12/9/17,Moderate,11.3
12/10/17,Moderate,11.7
12/11/17,Moderate,11.2
12/12/17,Moderate,7.5
12/13/17,Good,2.7
12/14/17,Good,7.1
12/15/17,Moderate,10.7
12/16/17,Moderate,15.9
12/17/17,Moderate,12.1
12/18/17,Moderate,22.4
12/19/17,Moderate,12.6
12/20/17,Good,4.6
12/21/17,Good,4.8
12/22/17,Moderate,12.8
12/23/17,Moderate,12.8
12/24/17,Good,4.3
12/25/17,Good,4.3
12/26/17,Good,4.8
12/27/17,Moderate,6.9
12/28/17,Good,4.9
12/29/17,Good,5.5
12/30/17,Moderate,16.2
12/31/17,Good,5.9
1/1/18,Moderate,5.3
1/2/18,Moderate,10.4
1/3/18,Moderate,16.4
1/4/18,Moderate,8.9
1/5/18,Good,4.7
1/6/18,Good,4.2
1/7/18,Moderate,7.6
1/8/18,Moderate,16.3
1/9/18,Moderate,18.6
1/10/18,Moderate,10.8
1/11/18,Moderate,18.3
1/12/18,Moderate,7.4
1/13/18,Good,2.3
1/14/18,Good,3.7
1/15/18,Moderate,8.8
1/16/18,Moderate,17.6
1/17/18,Moderate,16
1/18/18,Moderate,14.4
1/19/18,Moderate,19.6
1/20/18,Moderate,10.4
1/21/18,Moderate,15.9
1/22/18,Moderate,30.3
1/23/18,Moderate,8.5
1/24/18,Good,2.7
1/25/18,Good,3
1/26/18,Moderate,10.3
1/27/18,Moderate,8.9
1/28/18,Moderate,8.3
1/29/18,Moderate,8.1
1/30/18,Good,6.1
1/31/18,Good,5.9
2/1/18,Moderate,10.8
2/2/18,Good,5.8
2/3/18,Good,8.7
2/4/18,Good,9.8
2/5/18,Good,4.9
2/6/18,Moderate,12
2/7/18,Moderate,11.9
2/8/18,Moderate,7.5
2/9/18,Moderate,18.1
2/10/18,Moderate,22.1
2/11/18,Moderate,12.9
2/12/18,Good,5.8
2/13/18,Moderate,7.5
2/14/18,Moderate,11.9
2/15/18,Moderate,18.5
2/16/18,Moderate,5
2/17/18,Moderate,6.2
2/18/18,Good,8.1
2/19/18,Moderate,10.8
2/20/18,Moderate,15.3
2/21/18,Moderate,8.6
2/22/18,Moderate,4.1
2/23/18,Moderate,8.1
2/24/18,Moderate,8.2
2/25/18,Moderate,6.8
2/26/18,Good,7
2/27/18,Good,5.6
2/28/18,Moderate,7.6
3/1/18,Moderate,7.6
3/2/18,Good,3.4
3/3/18,Good,3.2
3/4/18,Good,2.1
3/5/18,Good,10.2
3/6/18,Unhealthy for Sensitive Groups,4.9
3/7/18,Good,2.9
3/8/18,Good,4.5
3/9/18,Good,5.9
3/10/18,Good,4.8
3/11/18,Good,4.6
3/12/18,Moderate,5.3
3/13/18,Good,3.6
3/14/18,Good,3.8
3/15/18,Good,7.7
3/16/18,Good,5.2
3/17/18,Good,3.7
3/18/18,Good,3.5
3/19/18,Moderate,5.2
3/20/18,Moderate,5.7
3/21/18,Moderate,4.4
3/22/18,Good,5.2
3/23/18,Good,3.7
3/24/18,Good,3.4
3/25/18,Good,3.9
3/26/18,Moderate,5.5
3/27/18,Moderate,7.1
3/28/18,Moderate,13.4
3/29/18,Moderate,20.6
3/30/18,Moderate,14.7
3/31/18,Good,2.8
